awardID,yearID,lgID,playerID,pointsWon,pointsMax,votesFirst,unanimous,rookie_of_the_year
Rookie of the Year,1949,NL,newcodo01,21,24,21,0,1
Rookie of the Year,1949,AL,sievero01,10,24,10,0,1
Rookie of the Year,1950,AL,dropowa01,15,24,15,0,1
Rookie of the Year,1950,NL,jethrsa01,11,24,11,0,1
Rookie of the Year,1951,NL,mayswi01,18,24,18,0,1
Rookie of the Year,1951,AL,mcdougi01,13,24,13,0,1
Rookie of the Year,1952,NL,blackjo02,19,24,19,0,1
Rookie of the Year,1952,AL,byrdha01,9,24,9,0,1
Rookie of the Year,1953,AL,kuennha01,23,24,23,0,1
Rookie of the Year,1953,NL,gilliji01,11,24,11,0,1
Rookie of the Year,1954,NL,moonwa01,17,24,17,0,1
Rookie of the Year,1954,AL,grimbo01,15,24,15,0,1
Rookie of the Year,1955,AL,scorehe01,18,24,18,0,1
Rookie of the Year,1955,NL,virdobi01,15,24,15,0,1
Rookie of the Year,1956,NL,robinfr02,24,24,24,1,1
Rookie of the Year,1956,AL,aparilu01,22,24,22,0,1
Rookie of the Year,1957,AL,kubekto01,23,24,23,0,1
Rookie of the Year,1957,NL,sanfoja02,16,24,16,0,1
Rookie of the Year,1958,NL,cepedor01,21,24,21,0,1
Rookie of the Year,1958,AL,pearsal02,14,24,14,0,1
Rookie of the Year,1959,NL,mccovwi01,24,24,24,1,1
Rookie of the Year,1959,AL,allisbo01,18,24,18,0,1
Rookie of the Year,1960,AL,hansero02,22,24,22,0,1
Rookie of the Year,1960,NL,howarfr01,12,24,12,0,1
Rookie of the Year,1961,NL,willibi01,10,16,10,0,1
Rookie of the Year,1961,AL,schwado01,7,20,7,0,1
Rookie of the Year,1962,NL,hubbske01,19,20,19,0,1
Rookie of the Year,1962,AL,treshto01,13,20,13,0,1
Rookie of the Year,1963,NL,rosepe01,17,20,17,0,1
Rookie of the Year,1963,AL,peterga01,10,20,10,0,1
Rookie of the Year,1964,AL,olivato01,19,20,19,0,1
Rookie of the Year,1964,NL,allendi01,18,20,18,0,1
Rookie of the Year,1965,NL,lefebji01,13,20,14,0,1
Rookie of the Year,1965,AL,blefacu01,12,20,12,0,1
Rookie of the Year,1966,AL,ageeto01,16,20,16,0,1
Rookie of the Year,1966,NL,helmsto01,12,20,12,0,1
Rookie of the Year,1967,AL,carewro01,19,20,19,0,1
Rookie of the Year,1967,NL,seaveto01,11,20,11,0,1
Rookie of the Year,1968,AL,bahnsst01,17,20,17,0,1
Rookie of the Year,1968,NL,benchjo01,10,20,10,0,1
Rookie of the Year,1969,NL,sizemte01,14,24,14,0,1
Rookie of the Year,1969,AL,pinielo01,9,24,9,0,1
