,Season,Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,sb_att,sb_pct,WAR/G,league,award_id,K%+_rank,wRC+_rank,BB%+_rank,BB/K_rank,OBP+_rank,SLG+_rank,ISO+_rank,WAR_rank,WAR/G_rank,wOBA_rank,Def_rank,Off_rank,PA_rank,WPA_rank,WPA/LI_rank,Clutch_rank,mean_rookie_rank,rookie_rank,pos,mean_mlb_rank,mlb_rank,key_bbref,awardID,yearID_x,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/G,rookie_of_the_year,_merge,yearID_y,playerID,POS,Def_int_Off,wOBA_int_BB/K,PA_int_WAR,PA_int_wRC+,PA_int_K%+,PA_int_BB%+,PA_int_OBP+,wRC+_int_WAR,wOBA_int_WAR,OBP+_int_SLG+,OBP+_int_ISO+,wRC+_int_WPA,wOBA_int_WPA,BB%+_int_K%+,Def_int_Off_int_WPA,Def_int_Off_int_WAR
0,1976,Butch Wynegar,MIN,149,622,10,58,69,79,63,0,0,0.260299625,1.253968253,0.3355305996737191,4.479766368865967,8.559113580758602,113.35303866650068,152.66033545801417,81.62747705067805,111.15589303856297,100.66760760401355,98.22774352702396,1.1592659950256348,0.4350340068340301,0.6665548338990162,3.5669527676785124,124632,1970s,0,0.0,0.02393928031999,AL,AL,2,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1.3125,1,C,63.5,35,wynegbu01,Rookie of the Year,1976.0,AL,2.0,24.0,2.0,0.0,0.0833333333333333,1,0.0077803086914472,0.0,both,1976.0,wynegbu01,C,38.342829166386345,0.42074471990089596,2218.6446214960347,70505.59005056342,50772.29072552175,94954.72865488482,69138.96546998617,404.32493499624405,1.1968218011470033,11189.797823279758,10918.592552909271,131.40632315890016,0.38896921449230193,12461.278029147865,44.4495380056688,136.76706061566617
1,1981,Tim Raines,WSN,88,363,5,61,37,45,31,71,11,0.303514376,1.451612903,0.3746087054966548,-2.612823486328125,24.527370772223257,136.2575451600563,142.87721108376303,72.65380959913907,119.3491680929388,116.38851540630648,118.07902274794884,3.252328395843506,2.7474098205566406,0.2217451494258724,3.7083823073422586,120891,1980s,82,0.8658536585365854,0.0421407080379802,NL,AL,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,2,1.375,1,2B,35.25,10,raineti01,Rookie of the Year,1981.0,NL,85.0,120.0,6.0,0.0,0.7083333333333334,1,0.0369582772254943,0.0,both,1981.0,raineti01,2B,-64.08569041154293,0.5437868304750711,1346.1427775652398,49461.48889310044,26373.33288448748,51864.42762340598,43323.74801773678,505.2950697134416,1.3891922956401814,13890.872489314868,14092.63313419489,443.15428327198,1.2183505302169477,10380.573690135721,-208.42771069269696,-237.6542404759792
3,1984,Alvin Davis,SEA,152,678,27,80,116,97,78,5,4,0.283950617,1.243589743,0.388589330040076,-1.5490388870239258,30.944817121438675,139.78994287790115,173.28346877321582,86.36273077670427,119.79388635859362,125.03193630285732,159.081966142284,5.231011867523193,3.3617260456085205,1.5842896706286045,5.328770201132789,113096,1980s,9,0.5555555555555556,0.035057698691663,AL,AL,4,2,1,1,2,1,1,1,2,1,4,1,2,1,1,2,1.6875,1,1B,26.1875,2,davisal01,Rookie of the Year,1984.0,AL,134.0,140.0,25.0,0.0,0.9571428571428572,1,0.034414551760021,1.0,both,1984.0,davisal01,1B,-47.93472507295229,0.4832457050770803,3612.906196368031,94777.58127121699,58553.93146660549,117486.19182824032,81220.25495112648,744.9084820258145,2.0707032423957115,14978.061568659406,19057.046973750406,731.2428501546902,2.0327153970325247,14965.233561714678,-250.747115723075,-255.43313456824092
4,1992,Kenny Lofton,CLE,148,651,5,96,42,68,54,66,12,0.284722222,1.259259259,0.3343566438611249,20.154200077056885,14.16110432903744,107.82827588484687,117.80303189155684,59.10325147094822,110.15988304646032,94.6932262887726,63.540486749442,1.8612258434295657,0.9435319900512696,0.7707078299200476,5.782923945847476,117863,1990s,78,0.8461538461538461,0.0390738104449153,AL,AL,1,4,2,1,1,5,6,1,1,3,1,2,1,1,2,1,2.0625,1,CF,63.375,38,loftoke01,Rookie of the Year,1992.0,AL,85.0,140.0,7.0,0.0,0.6071428571428571,1,0.012575850293443,0.0,both,1992.0,loftoke01,CF,285.40572995949697,0.42104169959028703,3764.683488746707,70196.20760103532,38476.21670758729,76689.7737614035,71714.08386324567,623.562718653929,1.9335590422376958,10431.394733263192,6999.6125890336925,200.69277372933,0.6223132264767011,6962.542217926817,531.2045204634956,1650.4796300648534
5,1998,Todd Helton,COL,152,595,25,78,97,53,54,3,3,0.315094339,0.981481481,0.3910230005536298,0.7146787643432617,9.939152193153312,114.15825102449335,98.90183431228698,55.06780707925978,112.07440697229048,124.9587161136345,138.40687578995482,2.1942062377929688,2.050628900527954,0.0637436307292902,2.894845009823127,115732,1990s,6,0.5,0.0190450329593626,NL,AL,2,2,3,1,2,1,1,1,2,1,5,2,3,2,2,4,2.125,1,1B,66.3125,37,heltoto01,Rookie of the Year,1998.0,NL,119.0,160.0,15.0,0.0,0.74375,1,0.0144355673539011,0.0,both,1998.0,heltoto01,1B,7.103301008022429,0.38378183368844043,1722.4327808447606,67924.15935957355,32765.34521215957,58846.591415810755,66684.27214851283,330.47044330839043,1.131950981878741,14004.674004454384,15511.868525046655,250.48674649347888,0.8579851069352981,5446.307131693935,15.586107380723897,20.562955476345316
6,1976,Jason Thompson,DET,123,486,17,45,54,68,72,2,4,0.218446601,0.944444444,0.3267038449613934,-4.128462791442871,0.1362576725930475,102.63130011285068,168.17527587796056,119.39398234515642,102.36551400232187,104.2470458369978,150.46270885265,-0.923039972782135,0.2312555015087127,-1.0645061162217726,1.1580391325399324,123288,1970s,6,0.3333333333333333,0.0094149522970726,AL,AL,3,2,1,2,2,1,1,3,2,2,3,2,4,2,2,4,2.25,2,1B,109.6875,117,thompja01,Rookie of the Year,1976.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0075043900226189,0.0,left_only,1976.0,thompja01,1B,-0.5625347313490017,0.3085536312072254,562.8070184144071,49878.81185484543,58025.47541974602,81733.18407668883,49749.639805128434,118.85106175413107,0.37833583721655256,10671.302430327889,15402.192529883223,-94.73279246276083,-0.3015607081609834,20079.115919065032,0.5192420431133882,-0.6514372323149819
7,2001,Albert Pujols,STL,161,676,37,112,130,69,93,1,3,0.328813559,0.741935483,0.422913487983926,0.917123317718506,50.65110305403749,158.63438629635357,113.98294022010312,80.20923308219511,118.62077711287408,138.71859416507553,164.14503492878504,4.031454086303711,5.713623046875,-1.5193207777753075,7.21643980680966,405395,2000s,4,0.25,0.0448226074957121,NL,AL,6,1,1,2,1,1,1,1,1,1,5,1,3,1,1,9,2.25,1,1B,45.4375,12,pujolal01,Rookie of the Year,2001.0,NL,160.0,160.0,32.0,1.0,1.0,1,0.0250400874925696,1.0,both,2001.0,pujolal01,1B,46.45330767902082,0.3137745229745688,4878.31330940333,107236.84513633502,54221.441563563894,77052.4675887897,80187.64532830288,1144.7754999978267,3.0519297295239225,16454.90743986666,19471.01160247234,639.527244862716,1.7049563092857538,9142.484219508162,187.27437706491202,335.2274986928627
10,1975,Fred Lynn,BOS,145,605,21,103,105,62,90,10,5,0.331439393,0.688888888,0.4269242605450603,6.285775065422058,41.36981377560992,160.9280792130089,113.32015172884309,115.74815034560628,122.20476245922912,149.39111388710566,193.93470467323004,3.5581300258636475,3.5462279319763184,-0.0736597906506775,7.10978090968909,118040,1970s,15,0.6666666666666666,0.0490329717909592,AL,AL,7,1,2,5,1,1,1,1,1,1,2,1,4,1,1,8,2.375,1,CF,38.4375,9,lynnfr01,Rookie of the Year,1975.0,AL,23.0,24.0,23.0,0.0,0.9583333333333334,1,0.0245388277645768,1.0,both,1975.0,lynnfr01,CF,260.04134389188283,0.2941033791071089,4301.4174503619,97361.48792387039,70027.6309590918,68558.69179595007,73933.88128783362,1144.1633854215845,3.0353379575064006,18256.305586093393,23699.744517192827,572.6030306523705,1.519052030215014,13116.597959497045,925.2609136676427,1848.8369825324041
11,1989,Dwight Smith,CHC,109,381,9,52,52,31,51,9,4,0.32361516,0.607843137,0.3919294283624037,-8.93004035949707,20.126628712421375,148.15518916814307,92.5523259395154,93.4053379338462,118.89985356732346,130.29262563670483,135.9638696643015,1.7075061798095703,2.460223913192749,-0.7126910272349596,2.5193430965480252,122416,1980s,13,0.6923076923076923,0.0231132394178717,NL,AL,3,1,3,3,1,1,1,1,1,1,6,1,7,2,1,7,2.5,1,LF,74.6875,55,smithdw01,Rookie of the Year,1989.0,NL,68.0,120.0,2.0,0.0,0.5666666666666667,1,0.0156651943101795,0.0,both,1989.0,smithdw01,LF,-179.73160670253543,0.23823161321842024,959.8697197847977,56447.12707306251,35587.433752795405,35262.43618295537,45300.84420915024,373.253753048528,0.9874046996788355,15491.774109106298,16166.084193532102,252.9759010754602,0.6692219209780366,8644.881280943915,-306.89282915168246,-452.80558257751744
12,1981,Hubie Brooks,NYM,98,389,4,34,38,23,65,9,5,0.307262569,0.353846153,0.3414355187527256,2.5221762657165527,6.785170271393486,116.04339823801702,68.14520631604331,142.15661590692753,105.36848812872756,109.18631461877176,90.94660592317176,0.6163357496261597,0.974898397922516,-0.4089511097784253,2.3878413180980926,111511,1980s,14,0.6428571428571429,0.0243657277356948,NL,AL,4,2,4,4,2,2,2,2,2,2,2,2,2,2,2,4,2.5,2,3B,80.5,80,brookhu01,Rookie of the Year,1981.0,NL,8.0,120.0,0.0,0.0,0.0666666666666666,1,0.0062891403023077,0.0,both,1981.0,brookhu01,3B,17.11339541735419,0.1208156448082113,928.870272740158,45140.88191458862,55298.92358779481,26508.48525694085,40988.34188207502,277.09322100524844,0.8152938391440143,11504.796895727564,9582.906366563788,71.5216948421952,0.21043891639945783,9687.291920168102,10.547597393203882,40.86407267050889
