Season,Name,Team,PA,HR,R,RBI,SB,CS,OPS,wOBA,WAR,BsR,Def,Off,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,MLBAMID,league,award_id,rookie_of_the_year,rom_Awards,rom_award_id,K%+_rank,wOBA_rank,WAR_rank,wRC+_rank,AVG+_rank,BB%+_rank,OBP+_rank,SLG+_rank,ISO+_rank,Def_rank,mean_rank,batter_rank,rookie_leader
2012,Mike Trout,LAA,639,30,129,83,49,5.0,0.962567293,0.4088874952999625,10.064203998100918,14.273969498462977,10.151297613978386,64.36919597135484,167.0438143595375,127.2217700092189,130.5839654525817,113.2681732710173,124.51258349075778,136.76947608716435,152.4228433459934,130.48623803728984,545361,AL,AL,1,4.0,AL,35,1,1,1,1,6,1,1,3,5,5.5,1,6
2017,Aaron Judge,NYY,678,52,128,114,9,4.0,1.049135181,0.430184422851145,8.715688618924444,-1.1487044747918844,4.586269855499268,60.600142344392104,173.81664358316738,110.89399553048496,222.39964416132705,144.07026973415847,129.99277409414998,145.92629001596632,197.61381468974088,119.73196088398194,592450,AL,AL,1,4.0,AL,56,1,1,1,7,1,1,2,3,8,8.1,1,5
2001,Albert Pujols,STL,676,37,112,130,1,3.0,1.013132453,0.422913487983926,7.21643980680966,-1.1440974235301835,0.917123317718506,50.65110305403749,158.63438629635357,122.4839373867762,113.98294022010312,80.20923308219511,118.62077711287408,138.71859416507553,164.14503492878504,112.44331056361894,405395,NL,NL,1,2.0,NL,11,1,1,1,2,8,1,1,2,12,4.0,1,5
2015,Kris Bryant,CHC,650,26,87,99,13,4.0,0.857602862,0.3707673554237072,6.0981452293833875,6.882574149407446,3.558187484741211,33.81541699740377,135.56018593113032,105.83074511688372,149.06252992564578,153.60999831621854,113.91621997152592,119.16571435891495,142.3830534985145,123.52594440989158,592178,NL,NL,1,2.0,NL,62,6,1,9,23,6,4,15,14,19,15.9,6,1
2001,Ichiro Suzuki,SEA,738,8,127,69,56,14.0,0.838118787,0.3602718572590233,6.01763431442322,5.089600295526907,7.810340404510498,27.80241716535663,124.40912701145304,130.81483196610895,49.00638335923682,43.58116270049061,114.16620531066806,106.43531571043216,66.13070161988041,124.12149907973762,400085,AL,AL,1,5.0,AL,2,5,2,4,1,25,4,6,22,5,7.6,3,1
2022,Julio Rodríguez,SEA,560,28,84,75,25,7.0,0.853449119,0.366144234113556,5.775815744236131,3.5881298505701125,3.9142017364501953,33.486402399615514,147.44503008592892,117.02147173021844,89.73017074699408,116.54030753262025,111.40829054867976,129.86178201656844,150.71296709495542,119.17684225614624,677594,AL,AL,1,2.0,AL,45,3,1,2,7,44,8,3,6,13,13.2,2,1
2008,Evan Longoria,TBR,508,27,67,85,7,0.0,0.873769685,0.3702550272619913,5.638725349712198,3.3057731832377613,17.863606929779053,21.145223800270905,128.50680408886592,101.57576023455395,105.33618129636316,142.62096807549133,101.90872910301248,126.19436509320909,169.36639102439543,102.4073811661914,446334,AL,AL,1,1.0,AL,45,6,1,3,21,21,16,3,3,2,12.1,6,1
2023,Corbin Carroll,ARI,645,25,116,76,54,5.0,0.867697037,0.3702759255996692,5.409959229188678,12.262289681006225,-6.057283401489258,38.24708300408146,132.5192929491508,113.96841581205446,100.28590276928855,86.83733473935023,111.82401398096248,121.52995629925272,132.88581103864846,109.30608157751104,682998,NL,NL,1,1.0,NL,11,5,1,6,10,23,11,8,12,71,15.8,4,1
2014,José Abreu,CHW,622,36,80,107,3,1.0,0.963571906,0.4112368425388116,5.2719763699511795,-2.9426198569126427,-14.649203062057495,43.14535292006892,167.40992093473054,124.78778357887629,106.27801368965552,106.83409660804249,120.9356211974239,148.5002857270592,192.23588819349965,119.51281106108844,547989,AL,AL,1,3.0,AL,27,1,1,1,2,14,1,1,1,61,11.0,2,6
2016,Corey Seager,LAD,687,26,105,72,3,3.0,0.877318344,0.3721490973426449,5.245395093292426,2.07122135697864,-3.206845283508301,32.64907351349348,136.1396119918878,118.1782403999324,90.96187830530904,94.361694777056,110.65810968212412,120.36168925959414,123.81083461193612,116.61900378309105,608369,NL,NL,1,1.0,NL,20,5,1,3,7,33,8,7,14,50,14.8,4,1
