,Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,SV,BS,SD,MD,WAR,MLBAMID,decade,WAR/IP,IP/G,SD_pct,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,MD_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,SD_rank,SD_pct_rank,Clutch_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP,ERA-_int_FIP-,IP_int_K/BB+,IP_int_K%+,IP_int_ERA-,IP_int_FIP-,K%+_int_BB%+,HR/9+_int_BB%+,K%+_int_ERA-,K%+_int_HR/9+,WHIP+_int_ERA-,WHIP+_int_FIP-,K-BB%_int_ERA-,K-BB%_int_FIP-,WHIP+_int_HR/9+,SD_int_MD,SD_int_SD_pct,ERA-_int_FIP-_int_WAR,ERA-_int_FIP-_int_WPA,ERA-_int_FIP-_int_IP,ERA-_int_FIP-_int_SD_int_MD,SD_int_MD_int_SD_pct
0,2024,Jacob Latz,TEX,46,43.2,40,3.709924852478184,91.45459671779274,5.048915843570365,121.0272986393152,-1.338990991092181,53.53695864581953,106.3834332177354,100.2906521953701,120.6636548230784,92.01870800199158,171.87885772816898,0.06770833,-0.8684839010238647,-0.1935454905033111,-0.6191981040144017,0,3.0,13,9,-0.2427155375480651,656641,2020s,-0.00561841522102,0.9391304347826088,0.5909090909090909,relief,AL,,7.2407353726280215e-06,13,21,21,22,17,22,17,20,20,20,16,22,20,21,21,11,13,16,18.5,22,144,120.5,latzja01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.020103794005182,11068.502788902439,2312.796613499404,3975.208185686037,3950.8385782086466,5228.379301218417,15816.070421004237,18285.06298266531,8415.533830814467,9789.266077512166,11035.245890339582,14603.596187183957,6.192238014585228,8.194556275279304,12836.613864678837,117,7.6818181818181825,-2686.497604260713,-9612.816480599517,478159.3204805854,1295014.8263015854,69.13636363636364
1,2024,Brendon Little,TOR,44,41.0,33,3.5121957755104205,87.92907840247938,4.853979789069039,118.35109147331396,-1.3417840135586188,66.25198633368774,113.3026656974719,95.23049521942504,103.19877346373596,83.76875482204035,126.43961842452978,0.0862069,0.3166902661323547,-0.2589612007141113,0.6253931878609456,1,3.0,6,8,-0.2825966477394104,663893,2020s,-0.0068926011643758,0.9318181818181818,0.4285714285714285,relief,AL,,6.998066122849387e-06,11,20,22,14,13,13,13,21,21,22,18,14,21,19,19,20,21,4,17.0,21,135,110.44444444444444,littlbr02,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0077241528324964,10406.50240117603,2716.3314396811975,3434.5189477036542,3605.0922145016543,4852.394750405872,10591.689395596772,14325.945817270405,7365.709410425258,9491.223223495124,9074.173042932547,12213.68747814042,7.5800932689347,10.20268070753083,11692.696130150809,48,2.571428571428571,-2940.842693264471,3295.638014935425,426666.59844821726,499512.11525644944,20.57142857142857
2,2024,Stephen Kolek,SDP,42,46.2,39,5.207143566559869,131.58351897710813,3.57819555924864,88.60494435533754,1.6289480073112288,118.61326212557697,68.986158206541,123.0534295474914,118.13267990583604,82.76659663338394,69.77853283367548,0.12796209,-0.8215910196304321,-0.3938181400299072,-1.3036516786116328,0,1.0,1,8,0.2728251516819,663568,2020s,0.005905306313461,1.1,0.1111111111111111,relief,NL,,6.050996319446417e-06,21,12,14,20,22,4,13,17,15,18,19,21,22,8,14,22,22,21,16.944444444444443,20,131,107.22222222222224,kolekst01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0177833554032561,11658.950377046167,5479.932710201656,3823.816764462338,6079.158576742396,4093.5484292165943,5775.331680714156,4813.7529054842535,10890.72003877953,5709.749529567589,15544.313728206216,10467.139529603503,16.837702097865417,11.338073864042695,8149.519745346673,8,0.1111111111111111,3180.854905069366,-9578.888928097971,538643.507419533,93271.60301636934,0.8888888888888888
3,2024,Kyle Nicolas,PIT,51,54.2,55,3.951219971728903,93.58699703618208,4.030808844189086,98.7414299912225,-0.0795888724601829,64.75165672936349,58.89062168511382,100.231590755926,116.468837021691,101.3513087171978,156.5231100675043,0.09876543,-0.333895593881607,0.0603715330362319,-0.5855895699673813,0,0.0,9,9,0.1170385479927063,693312,2020s,0.0021593828042934,1.0627450980392157,0.5,relief,NL,,2.933985593222976e-06,14,19,8,19,16,20,17,19,19,12,15,16,18,20,17,16,18,15,16.555555555555557,19,127,106.16666666666669,nicolky01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0061604353114687,9240.91391593692,3509.5397947315014,5493.240932472121,5072.415239361069,5351.78550552426,15863.822049827557,9217.743259962826,9485.164628529565,5968.641578955674,10899.96870515657,11500.299516936406,9.24316000468725,9.752239791897987,6858.922219149584,81,4.5,1081.5431468468507,-3085.5004399705645,500857.5342437811,748514.0271908905,40.5
4,2024,Cam Booser,BOS,43,42.2,43,3.3750005029142653,78.63658995198828,3.803865240933389,91.6511471812718,-0.428864738019123,97.1193890749958,90.73064690206076,103.53974287757848,106.65191243105288,103.7850345019406,106.8633566014574,0.14754098,-0.5420917868614197,-0.071208581328392,-0.6337083485611059,1,2.0,7,8,0.2997769117355346,592155,2020s,0.0071037182875719,0.9813953488372094,0.4666666666666667,relief,AL,,5.426355248031498e-06,10,15,18,15,18,12,13,14,12,21,14,19,19,11,13,18,20,17,15.5,18,115,98.22222222222224,booseca01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.012845776939844,7207.133679522997,4098.438218964823,4379.728455981894,3318.464095973906,3867.67841104967,11090.817151875437,9695.781474575835,8161.30120128206,9416.483319113766,8386.742705436067,9774.77012338254,11.602119545374503,13.522300073249077,9676.597008211364,56,3.2666666666666666,2160.532276912564,-3906.92797448174,304141.0412758705,403599.48605328787,26.133333333333333
5,2024,Anthony Molina,COL,32,54.1,37,6.294479116847418,134.87638520977046,3.870439215175565,90.7362951842774,2.424039901671853,71.07191414619811,59.251912498292214,120.5641037447264,118.61243255782186,69.90791072075989,98.36221565884084,0.07594937,0.1568820923566818,0.1251900792121887,0.2898357691894252,0,2.0,2,2,0.3056491613388061,683627,2020s,0.0056497072336193,1.690625,0.5,relief,NL,,2.2767169780312438e-06,22,14,9,21,21,9,1,13,16,13,21,15,16,17,20,21,18,6,15.166666666666666,17,114,97.11111111111111,molinan01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0028998538328406,12238.183501782038,3844.990555309318,3782.01796999311,7296.8124398485825,4908.833569469407,6876.296990574376,5828.149395355786,9428.926295583453,4142.177408964889,15998.016144336701,10762.45269309172,10.243776484559385,6.891364455379902,7028.013475125647,4,1.0,3740.590523630093,1919.9518344045891,662085.7274464082,48952.73400712815,2.0
6,2024,Bryce Jarvis,ARI,44,59.1,38,3.185393531490157,76.12603825389704,5.126108994006583,129.7621018162937,-1.940715462516426,42.0261441375804,81.38816006487957,96.62253882496395,111.23427914746028,65.95334619636452,156.93408562932507,0.01937985,1.0404871702194214,0.492921769618988,0.8333498066810603,0,0.0,11,5,-0.5913830399513245,686826,2020s,-0.0100064812174504,1.3431818181818185,0.6875,relief,NL,,3.4461584312974397e-05,8,22,16,17,15,21,3,22,22,9,22,7,13,22,22,14,7,1,14.61111111111111,16,108,94.38888888888889,jarvibr01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0176055358751171,9878.274726773256,2483.745118531002,3897.8427602051433,4499.048860805315,7668.940217342957,10350.32807952079,12772.576480835025,5020.7669555169605,5367.821497044132,8467.824989524222,14433.993856194777,1.4753112024547865,2.5147700688844994,9053.153315954994,55,7.5625,-5841.844137393507,10278.218117110333,583806.0363522994,543305.1099725291,37.8125
7,2024,Victor Vodnik,COL,58,67.2,60,4.256158275308585,91.19980103163608,4.0577522873262515,95.05260775154672,0.1984059879823334,66.35706971396678,71.36499225394346,106.91369680632108,115.8951028523279,91.38541001991662,137.71766660524264,0.09183674,0.3906420767307281,0.3475006520748138,-0.0542305741148133,9,4.0,20,10,0.435839295387268,680767,2020s,0.0064857038004057,1.1586206896551725,0.6666666666666666,relief,NL,,8.231870236627481e-06,12,17,15,18,19,15,20,12,13,3,17,13,14,18,18,6,9,10,13.833333333333334,13,101,88.94444444444444,vodnivi01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0058131261418263,8668.77891447921,4459.195084778567,6141.0995533383975,6128.626629325945,6387.53524090394,12585.385429706277,9828.220210514308,8334.331211010878,6521.719078194797,10569.610320673304,11016.131751747487,8.375492415394096,8.72932162440078,8270.85311732636,200,13.333333333333332,3778.1944939546247,3386.389797871705,582541.9430530029,1733755.7828958419,133.33333333333331
8,2024,Erik Miller,SFG,57,53.0,70,4.075472284780867,101.37472172718572,3.64275082774586,93.33944675792566,0.4327214570350071,91.2409708658284,91.11379456033366,76.64768704864929,93.76107893691515,141.8334646733256,155.44931249138602,0.19004525,-0.4872461259365082,0.6401038765907288,-1.1651570024668605,0,3.0,11,10,0.2658702433109283,669062,2020s,0.0050164196851118,0.9298245614035088,0.5238095238095238,relief,NL,,1.9763214659606225e-06,18,16,19,11,5,19,20,18,17,14,3,17,10,13,7,14,17,20,14.333333333333334,15,99,87.66666666666667,milleer01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0091933231308775,9462.26044125418,4835.771455888906,7517.1736276862575,5372.860251540843,4946.99067817006,22047.91457173975,14163.576722885255,14378.32801286101,12922.98516202573,9505.003286070467,8751.607235397856,19.265784334323442,17.73871849397167,8542.927684013315,110,5.761904761904762,2515.733485787621,-4610.449742603374,501499.8033864716,1040848.6485379599,57.61904761904762
9,2024,Yuki Matsui,SDP,61,61.0,66,3.836066293447456,96.9366593160332,3.9907249315616338,98.63187072548996,-0.1546586381141774,92.6446780930736,105.55259721354768,80.65765572832451,89.10184888378078,118.69093007046072,128.11413479898553,0.16064257,-0.699819803237915,0.6039326190948486,-1.3447278455103788,0,4.0,12,10,0.2996959984302521,673513,2020s,0.0049130491545942,1.0,0.5454545454545454,relief,NL,,2.2211236195338074e-06,15,18,20,8,7,14,20,15,18,8,8,20,11,12,11,13,14,22,14.11111111111111,14,98,86.66666666666667,matsuyu01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0114724557907854,9561.044050219849,5651.325363677489,7240.146734298104,5913.136218278025,6016.544114254888,15205.985814463971,13522.779667799472,11505.502252143371,12528.135934628695,8637.23556967573,8788.282040507207,15.572154079742017,15.844477197250473,9404.931566212106,120,6.545454545454545,2865.406642666259,-6691.007965973893,583223.6870634108,1147325.286026382,65.45454545454545
