Season,Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,sb_att,sb_pct,WAR/G,league,award_id,rookie_of_the_year,K%+_rank,wRC+_rank,BB%+_rank,BB/K_rank,OBP+_rank,SLG+_rank,ISO+_rank,WAR_rank,WAR/G_rank,wOBA_rank,Def_rank,Off_rank,PA_rank,WPA_rank,WPA/LI_rank,Clutch_rank,mean_rookie_rank,rookie_rank,pos,mean_mlb_rank,mlb_rank,WPA/G
2024,Jackson Chourio,MIL,136,527,21,76,77,38,106,20,7,0.273291925,0.358490566,0.3427816920581905,1.826995849609375,16.440340180494694,120.63278984396004,87.529931130519,89.41933983276071,104.3704501544048,117.71316048009356,128.53912850578732,2.1812078952789307,1.3462388515472412,0.8493193582662055,3.708328661949568,694192,2020s,27,0.7407407407407407,0.02726712251433506,NL,NL,,0.5909090909090909,0.8636363636363636,0.5454545454545454,0.5909090909090909,0.7272727272727273,0.9090909090909091,0.9090909090909091,0.9545454545454546,0.9090909090909091,0.8636363636363636,0.36363636363636365,0.9545454545454546,0.7272727272727273,0.9545454545454546,0.9545454545454546,0.8636363636363636,0.7926136363636365,1,batter,0.7334857723577236,32,0.016038293347639197
2024,Jackson Merrill,SDP,146,555,24,74,86,26,98,16,3,0.290384615,0.265306122,0.3507736646544911,3.5589641332626343,23.82384015335836,130.01205057870789,56.867477902675176,78.49993593643444,102.3288568685392,125.09346327449336,136.62506529911045,2.2933661937713623,2.3308186531066895,0.1461994513364448,4.744176422689189,701538,2020s,19,0.8421052631578947,0.03249435905951499,NL,NL,,0.8636363636363636,0.9545454545454546,0.13636363636363635,0.22727272727272727,0.5909090909090909,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9545454545454546,0.5454545454545454,1.0,0.9090909090909091,1.0,1.0,0.5454545454545454,0.7897727272727272,2,batter,0.7230691056910568,34,0.015707987628570976
2024,Spencer Horwitz,TOR,86,332,12,44,36,37,57,0,0,0.27368421,0.649122807,0.3571700618122563,-2.155671715736389,10.14708571816602,135.65376552184244,137.6958922882753,76.38868622597622,117.7761469324901,116.55388436188424,120.83157198409818,1.9687514305114744,1.095073938369751,1.0066561527543882,1.9557470431311612,687462,2020s,0,0.0,0.022741244687571643,AL,AL,,0.9545454545454546,1.0,0.8636363636363636,0.9545454545454546,1.0,0.8636363636363636,0.7727272727272727,0.5,0.6818181818181818,1.0,0.22727272727272727,0.7727272727272727,0.13636363636363635,0.9090909090909091,0.8636363636363636,0.9545454545454546,0.7784090909090908,3,batter,0.7475863821138212,29,0.022892458494319468
2024,Austin Wells,NYY,105,374,13,39,50,42,79,1,2,0.246875,0.531645569,0.3304538092408678,18.375011801719666,4.612922820942419,115.54833289074855,138.7506518453995,93.98266577039035,108.2957059305952,106.95143383176536,113.5942644133498,0.4394674599170685,0.0420698001980781,0.4456018256378065,3.643493611913967,669224,2020s,3,0.3333333333333333,0.0346999391610854,AL,AL,,0.45454545454545453,0.7272727272727273,0.9090909090909091,0.8636363636363636,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.9090909090909091,1.0,0.7727272727272727,1.0,0.7272727272727273,0.22727272727272727,0.8181818181818182,0.6818181818181818,0.7272727272727273,0.7613636363636362,4,batter,0.6938516260162603,44,0.004185404380162557
2024,Michael Busch,CHC,141,531,20,71,63,58,154,2,1,0.254817987,0.376623376,0.3403092693607762,-5.802755832672119,12.081661309842476,121.394988685192,132.59192604874096,128.93250196650965,106.97337727018872,111.64494978910406,124.71975771280516,1.5682275295257568,1.198495626449585,0.4487512125359554,2.487541781091781,683737,2020s,3,0.6666666666666666,0.01764214029143107,NL,NL,,0.09090909090909091,0.9090909090909091,0.8181818181818182,0.6818181818181818,0.8181818181818182,0.8181818181818182,0.8636363636363636,0.5909090909090909,0.5454545454545454,0.8181818181818182,0.09090909090909091,0.9090909090909091,0.8181818181818182,0.8636363636363636,0.9090909090909091,0.7727272727272727,0.7073863636363636,5,batter,0.6620934959349593,57,0.011122181060466361
2024,Joey Ortiz,MIL,130,469,10,54,51,55,92,9,6,0.241895261,0.597826086,0.3251279655054243,11.054759979248049,3.963994355813584,108.69768725537013,142.35523871167987,87.20696931035691,107.3636837076302,99.68232808966783,102.1518769978749,-0.993638515472412,-0.0402017310261726,-0.9534367844462396,3.172689432969289,687401,2020s,15,0.6,0.024405303330532993,NL,NL,,0.6818181818181818,0.6818181818181818,1.0,0.9090909090909091,0.8636363636363636,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.7272727272727273,0.6818181818181818,0.9090909090909091,0.6818181818181818,0.5454545454545454,0.2727272727272727,0.5909090909090909,0.09090909090909091,0.6647727272727274,6,batter,0.6149644308943089,76,-0.007643373195941631
2024,Wilyer Abreu,BOS,120,405,15,55,57,35,117,8,3,0.261707988,0.299145299,0.3449640724394056,5.088099002838135,10.326238015844782,119.67821202130088,106.77519310593703,128.53550512048955,105.32439247246616,121.3190788213127,140.54483446380112,0.02083420753479,0.477265328168869,-0.4543486817172449,2.969277740608786,677800,2020s,11,0.7272727272727273,0.02474398117173988,AL,AL,,0.13636363636363635,0.8181818181818182,0.5909090909090909,0.36363636363636365,0.7727272727272727,0.9545454545454546,1.0,0.7272727272727273,0.8636363636363636,0.9090909090909091,0.5909090909090909,0.8636363636363636,0.36363636363636365,0.6363636363636364,0.8181818181818182,0.18181818181818182,0.6619318181818182,7,batter,0.6194105691056909,73,0.00017361839612325
2024,Masyn Winn,STL,139,586,13,73,50,38,103,11,5,0.270871985,0.368932038,0.3142934955682132,7.479886054992676,3.468368504475073,102.9890321316854,78.7171910985786,78.14043411216933,100.69789021317536,101.33759302569251,87.87264568007777,-0.677257776260376,-0.4896137714385986,-0.1761425253708803,3.1591012524954603,691026,2020s,16,0.6875,0.022727347140255108,NL,NL,,0.9090909090909091,0.5909090909090909,0.36363636363636365,0.6363636363636364,0.4090909090909091,0.6818181818181818,0.36363636363636365,0.7727272727272727,0.6363636363636364,0.5909090909090909,0.6818181818181818,0.5909090909090909,1.0,0.4090909090909091,0.45454545454545453,0.36363636363636365,0.5909090909090908,8,batter,0.5405233739837398,111,-0.0048723581025926326
2024,Colton Cowser,BAL,142,518,20,70,62,49,158,8,4,0.241830065,0.310126582,0.3272636507370675,6.495110750198364,10.203590152341054,115.57327617723668,116.87554859278195,135.71242117030013,104.18297789298718,109.10334650724612,122.26482007370672,-2.321861743927002,-0.0434288531541824,-2.463707379879416,3.487089733009618,681297,2020s,12,0.6666666666666666,0.02455696995077196,AL,AL,,0.045454545454545456,0.7727272727272727,0.6818181818181818,0.4090909090909091,0.6818181818181818,0.7727272727272727,0.8181818181818182,0.8636363636363636,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.6818181818181818,0.045454545454545456,0.5454545454545454,0.045454545454545456,0.5852272727272726,9,batter,0.5491615853658538,108,-0.01635113904173945
2024,Wyatt Langford,TEX,122,503,11,61,64,44,105,15,3,0.249448123,0.419047619,0.3084254621267319,-2.553973913192749,3.7084462414767927,100.08783334846524,108.0791786855213,92.878155821059,102.7926478302094,98.3269899931777,90.09761557947172,0.2790921628475189,-0.5443505644798279,0.8201035572286339,1.8350562271884472,694671,2020s,18,0.8333333333333334,0.015041444485151207,AL,AL,,0.5,0.5454545454545454,0.6363636363636364,0.7727272727272727,0.6363636363636364,0.45454545454545453,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.5454545454545454,0.18181818181818182,0.6363636363636364,0.6363636363636364,0.7727272727272727,0.4090909090909091,0.8181818181818182,0.5482954545454546,10,batter,0.5266768292682927,113,0.002287640679078024
