Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,SV,BS,SD,MD,WAR,MLBAMID,decade,WAR/IP,IP/G,SD_pct,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,MD_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,SD_rank,SD_pct_rank,Clutch_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP
2014,Dellin Betances,NYY,70,90.0,135,1.4000002373589813,36.42351491621183,1.643363027337114,42.2318881289361,-0.2433627899781327,212.34464964018449,45.040898154976645,59.10704777925425,60.59730254843035,196.27528932817512,92.43241545176043,0.3255132,4.431342124938965,2.650524854660034,0.7900597768094824,1,4.0,35,7,2.9887475967407227,476454,2010s,0.033208306630452475,1.2857142857142858,0.8333333333333334,relief,AL,AL,0,0.9333333333333333,0.9333333333333333,0.6,1.0,1.0,0.9333333333333333,0.6,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1,1,0.9232549857549858,betande01,Rookie of the Year,2014.0,AL,27.0,150.0,0.0,0.0,0.18,1,0.049237134721544056
2006,Jonathan Papelbon,BOS,59,68.1,75,0.9219516998783688,19.523037058678955,2.136991156169883,48.966961101691815,-1.215039456291514,285.63643519623474,35.08186611844902,61.34382783388423,54.84467025888018,177.13036882713294,62.0125239113141,0.24124514,5.302378177642822,2.6056196689605713,0.0042142658490456,35,6.0,34,6,3.0785257816314697,449097,2000s,0.045205958614265344,1.1542372881355931,0.85,closer,AL,AL,0,1.0,0.9411764705882353,0.8235294117647058,0.9411764705882353,1.0,0.8823529411764706,0.7352941176470589,0.9411764705882353,1.0,0.6470588235294118,0.9411764705882353,1.0,1.0,0.9411764705882353,0.9411764705882353,0.9117647058823529,1.0,0.5294117647058824,0.8986928104575165,1,2,0.9160997732426305,papeljo01,Rookie of the Year,2006.0,AL,63.0,140.0,0.0,0.0,0.45,1,0.07786164724879328
1995,Troy Percival,LAA,62,74.0,94,1.9459469490808792,40.69783415165311,2.7114048535671267,56.858280699736554,-0.7654579044862475,225.94661984980712,67.35277731369746,54.17584172467378,58.050670368568056,215.479591079834,95.3674748595571,0.23943662,3.71040415763855,2.5686585903167725,0.1412211602899771,3,0.0,32,5,2.414278745651245,120401,1990s,0.03262538845474656,1.1935483870967742,0.8648648648648649,relief,AL,AL,0,1.0,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.9603174603174602,1,2,0.9148989898989899,percitr01,Rookie of the Year,1995.0,AL,13.0,140.0,1.0,0.0,0.09285714285714286,1,0.05014059672484527
2006,Takashi Saito,LAD,72,78.1,107,2.0680858449390263,46.986878167701754,1.8701515792665455,41.14065201197195,0.1979342656724805,235.03478885275376,30.89603044065084,66.11627686450244,64.59568786032864,206.02492757346255,87.65720313602814,0.27722772,3.944917917251587,2.2198972702026367,0.4346817793287902,24,2.0,34,8,3.1443612575531006,493416,2000s,0.04026070752308708,1.0847222222222221,0.8095238095238095,relief,NL,NL,0,0.8235294117647058,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.6470588235294118,0.47058823529411764,1.0,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,0.9411764705882353,0.8235294117647058,1.0,0.9117647058823529,0.8823529411764706,0.8235294117647058,0.8709150326797387,2,4,0.9143990929705215,saitota01,Rookie of the Year,2006.0,NL,2.0,160.0,0.0,0.0,0.0125,1,0.05051111289694734
1986,Mark Eichhorn,TOR,69,157.0,166,1.7197452229299364,40.86098416966751,2.3124125787406973,56.21192761510612,-0.5926673558107609,216.59297616804355,44.95424526891543,72.90328725845802,69.17370073787222,180.4096854026172,83.2943303832994,0.19771242,5.264051914215088,4.571971893310547,-0.8345466450859016,10,0.0,32,10,4.9446120262146,113780,1980s,0.03149434411601656,2.2753623188405796,0.7619047619047619,relief,AL,AL,0,1.0,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.14285714285714285,0.9126984126984126,1,1,0.8878101402373246,eichhma01,Rookie of the Year,1986.0,AL,23.0,140.0,0.0,0.0,0.16428571428571428,1,0.03352899308417254
2022,Jhoan Duran,MIN,57,67.2,89,1.8620690354997995,48.228774030882406,2.5212979745204147,63.59245921926659,-0.6592289390206152,200.9339441350828,74.12197579049341,85.07333082186423,77.86581929930709,150.5987481718,74.94938003956516,0.27443609,4.560606002807617,1.5934683084487915,1.2537936760091744,8,0.0,34,4,1.5238564014434814,661395,2020s,0.022676434545289902,1.1789473684210527,0.8947368421052632,relief,AL,AL,0,0.9666666666666667,0.9666666666666667,0.6333333333333333,0.8666666666666667,0.6166666666666667,0.9,0.8,1.0,1.0,0.9166666666666666,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,0.9203703703703704,1,5,0.8871722846441948,duranjh01,Rookie of the Year,2022.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.06786616075606573
1980,Doug Corbett,MIN,73,136.1,89,1.9804401716848872,47.446845020575786,3.0604807426506166,75.6515398722979,-1.0800405709657297,147.65650195968163,56.612870677311555,79.31513302097463,76.21052551580779,140.95399159197416,95.46074793863984,0.08851224,7.578114032745361,3.096839666366577,1.1985138863774596,23,0.0,35,7,2.5768110752105713,112665,1980s,0.01893321877450824,1.8643835616438356,0.8333333333333334,relief,AL,AL,0,1.0,0.875,0.375,1.0,0.875,0.625,0.75,1.0,0.875,1.0,0.5,1.0,1.0,0.875,0.5,1.0,1.0,1.0,0.8472222222222222,1,2,0.8845933562428409,corbedo01,Rookie of the Year,1980.0,AL,38.0,140.0,3.0,0.0,0.2714285714285714,1,0.05568048517814373
2011,Greg Holland,KCR,46,60.0,74,1.7999997711181932,43.297548952476475,2.2087197229597173,55.38829899099477,-0.4087199518415241,172.88103281049334,45.60101096309385,68.6481152696132,70.4596824262054,175.33236866849623,101.4179340104225,0.2360515,3.1559078693389893,1.7792707681655884,0.4423739606710843,4,2.0,24,1,1.7711236476898191,518813,2010s,0.029518727461496985,1.3043478260869565,0.96,relief,AL,AL,0,1.0,0.8846153846153846,0.7692307692307693,1.0,0.8846153846153846,0.8846153846153846,1.0,0.9615384615384616,0.9230769230769231,0.6923076923076923,0.7692307692307693,0.9615384615384616,1.0,0.9615384615384616,0.8846153846153846,0.8461538461538461,1.0,0.6923076923076923,0.8952991452991453,1,2,0.8764172335600907,hollagr01,Rookie of the Year,2011.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.05259846448898316
2007,Joakim Soria,KCR,62,69.0,75,2.4782622396840854,54.02302871834582,2.5004742972714835,57.24383905567105,-0.022212057587398,197.20935788773656,38.88826609253617,69.4106728029115,66.72956197950757,163.51018162099237,82.91197836218245,0.20740741,3.8611960411071777,2.19222640991211,-0.0227027289921206,17,4.0,26,5,2.129539251327514,465657,2000s,0.030862887700398755,1.1129032258064515,0.8387096774193549,relief,AL,AL,0,0.85,1.0,0.7,0.95,1.0,0.85,0.775,1.0,1.0,0.925,1.0,1.0,1.0,0.95,1.0,0.95,1.0,0.5,0.9138888888888889,1,4,0.8752587991718427,soriajo01,Rookie of the Year,2007.0,AL,1.0,140.0,0.0,0.0,0.007142857142857143,1,0.05595936291459678
2009,Andrew Bailey,OAK,68,83.1,91,1.836000448242297,42.511890757464585,2.557083627471892,59.42424180916635,-0.7210831792295953,187.0943205831772,48.53248555355518,62.56897463393527,62.422617792332346,160.0934645647234,85.5683171947801,0.20743034,2.5857300758361816,2.4979910850524902,-0.642425708737766,26,4.0,24,6,2.3334481716156006,457732,2000s,0.028080002065169685,1.2220588235294116,0.8,closer,AL,AL,1,1.0,1.0,0.8275862068965517,1.0,1.0,0.8620689655172413,0.6379310344827587,1.0,1.0,1.0,0.9310344827586207,0.9655172413793104,1.0,0.9310344827586207,1.0,0.9482758620689655,0.9655172413793104,0.10344827586206896,0.8984674329501916,1,5,0.8716596343178622,bailean01,Rookie of the Year,2009.0,AL,88.0,160.0,13.0,0.0,0.55,1,0.03111588538912373
