Season,Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,WAR/IP,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,Clutch_rank,QS_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP
1981,Fernando Valenzuela,LAD,13,7,25,25,11,8,16,192.1,180,2.4800693896756596,73.03295992786761,2.4390604769892565,72.40733545053712,0.041008912686403,191.39318780580945,92.5524755378197,80.76309114107698,79.74573029420272,183.8531805988114,96.06046677719505,0.15699208,4.012380123138428,2.5653810501098633,0.8143067737180902,4.876076698303223,123619,1980s,0.02538301248466019,starter,NL,NL,1,0.8,0.8,0.4,1.0,0.8,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8999999999999999,1,1,0.8971036585365854,valenfe01,Rookie of the Year,1981.0,NL,107.0,120.0,17.0,0.0,0.8916666666666667,1,0.020886934529611805
1984,Dwight Gooden,NYM,17,9,31,31,7,3,21,218.0,276,2.6009174311926606,74.10048406475286,1.6856825640442177,48.63871347108003,0.9152348671484428,212.72095573033027,43.77993955897856,80.03054458938742,81.35157184858849,211.7651082174248,99.5506563933574,0.23094426,4.349802017211914,4.197781562805176,-0.1392355583927917,8.258535385131836,114947,1980s,0.037883189840054295,starter,NL,NL,1,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,0.4166666666666667,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9166666666666666,1.0,0.5,0.8333333333333334,0.8958333333333334,1,1,0.8889508928571429,goodedw01,Rookie of the Year,1984.0,NL,118.0,120.0,23.0,0.0,0.9833333333333333,1,0.019953220262439973
1975,John Montefusco,SFG,15,9,34,34,10,4,23,243.0,215,2.8888892516950757,76.30571042473213,2.5667121977141414,73.0551051384263,0.3221770539809343,171.80639404434564,64.06470139231175,90.64359871026129,89.56670118016629,161.5455171594004,94.0276551298213,0.12684366,4.453229904174805,1.940307021141052,2.140700927650035,5.958042144775391,119261,1970s,0.02451869195380819,starter,NL,NL,1,0.8333333333333334,1.0,1.0,0.8333333333333334,0.5,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9270833333333334,1,4,0.88,montejo01,Rookie of the Year,1975.0,NL,12.0,24.0,12.0,0.0,0.5,1,0.018326048988373683
1980,Britt Burns,CHW,14,13,32,32,11,1,21,232.0,130,2.7543103448275863,68.42156025884752,3.368791581844462,84.58020259635742,-0.6144812370168751,148.49963167174147,76.04158700550599,88.80255514614448,82.72716718191874,116.18113689132072,78.23665463555783,0.07332625,3.445065975189209,2.193961381912231,1.134962614974862,4.496792793273926,111757,1980s,0.019382727557215196,starter,AL,AL,0,1.0,0.8571428571428571,0.5714285714285714,1.0,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9107142857142857,1,3,0.8698369565217393,burnsbr01,Rookie of the Year,1980.0,AL,33.0,140.0,4.0,0.0,0.2357142857142857,1,0.01484942230685004
1995,Hideo Nomo,LAD,13,6,28,28,4,3,18,191.1,236,2.5400697539344748,65.44498740574907,2.8890112274971216,70.29493775477069,-0.3489414735626468,151.5889568831187,68.91865873537779,69.00679622652002,76.70451593184968,176.9257796177266,116.71416328867852,0.2025641,3.581926107406616,3.4642748832702637,0.0192536587125902,5.189611911773682,119827,1990s,0.027156524917706343,starter,NL,NL,1,1.0,1.0,0.7692307692307693,1.0,1.0,0.3076923076923077,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,0.5384615384615384,0.9615384615384616,0.90625,1,5,0.8493421052631578,nomohi01,Rookie of the Year,1995.0,NL,118.0,140.0,18.0,0.0,0.8428571428571429,1,0.018743726360055554
1984,Orel Hershiser,LAD,9,6,20,20,8,4,16,147.2,109,2.194130849932777,63.336556248007696,2.443194949171404,70.83994571372189,-0.2490640992386268,197.8284998812339,46.16588114376389,81.83077065399252,73.39392873344633,126.30999270105004,63.84822770218418,0.13402062,1.9692940711975095,2.3814899921417236,-0.1861402228246453,3.83388352394104,115861,1980s,0.02604540437459946,starter,NL,NL,0,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.4166666666666667,0.75,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.6666666666666666,0.8229166666666666,2,3,0.8448660714285715,hershor01,Rookie of the Year,1984.0,NL,15.0,120.0,0.0,0.0,0.125,1,0.013378356461939604
2013,José Fernández,MIA,12,6,28,28,0,0,20,172.2,187,2.1891893181636215,59.51361397990536,2.729321538540294,74.59056653808503,-0.5401322203766719,128.06784928017692,58.79598472668036,72.75131893417984,76.36925902352571,139.29554319698215,108.76698661475088,0.18942731,3.533018112182617,3.647681713104248,-0.0726659638261213,4.164601802825928,605228,2010s,0.02418467945891944,starter,NL,NL,1,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,1.0,0.3333333333333333,0.9166666666666666,0.890625,1,9,0.8213263358778626,fernajo02,Rookie of the Year,2013.0,NL,142.0,150.0,26.0,0.0,0.9466666666666667,1,0.020516946063778265
2003,Brandon Webb,ARI,10,9,28,28,1,1,21,179.2,171,2.855287731236487,63.20292175589028,3.3320785912030906,74.32170692240959,-0.4767908599666035,131.27594499961396,57.02058443083931,81.88773274324583,83.38925824956827,134.21189632828018,102.23647367340014,0.13941019,3.1040899753570557,2.970672607421875,0.1343745770477102,4.306087493896484,425630,2000s,0.024029506104333062,starter,NL,NL,0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.9322916666666666,1,14,0.8052685950413223,webbbr01,Rookie of the Year,2003.0,NL,73.0,160.0,7.0,0.0,0.45625,1,0.017321930666055
2018,Walker Buehler,LAD,8,4,23,23,0,0,13,136.1,151,2.3105135336323683,60.05962232493841,2.9183777770136605,72.4925779571887,-0.6078642433812922,161.8681729525248,66.38561147634506,75.91860808234743,71.32858114355878,126.60699900151997,78.2161120072017,0.21616541,3.006216287612915,3.2934985160827637,-0.3503813430471547,3.2966508865356445,621111,2010s,0.024222269555735816,starter,NL,NL,0,1.0,0.9166666666666666,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,0.08333333333333333,0.9166666666666666,0.8854166666666666,1,13,0.7913135593220338,buehlwa01,Rookie of the Year,2018.0,NL,28.0,150.0,1.0,0.0,0.18666666666666668,1,0.02208829013675911
1981,Dave Righetti,NYY,8,4,15,15,2,0,13,105.1,89,2.0506330104119512,57.52451888501338,2.116061752214203,57.47844321705898,-0.0654287418022518,161.4882375151899,12.032170024915075,77.77086597223195,81.22476261053424,173.69280274678445,107.55755632182009,0.12085308,1.904774069786072,1.8808727264404297,0.0132875438327562,3.4683759212493896,121201,1980s,0.033000722371545096,starter,AL,AL,1,1.0,1.0,1.0,0.8,1.0,0.4,0.8,1.0,0.2,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.7875000000000002,2,8,0.790015243902439,righeda01,Rookie of the Year,1981.0,AL,127.0,140.0,23.0,0.0,0.9071428571428571,1,0.018123445002721904
1992,Cal Eldred,MIL,11,2,14,14,2,1,12,100.1,62,1.794020024500243,45.83891376392662,2.813218567231661,72.24617424082518,-1.0191985427314183,170.27963467514863,45.63392273358121,80.916756109312,72.38848006314335,112.10702887506729,65.83701827527288,0.09898477,3.25858211517334,2.2707884311676025,1.0739988491060155,2.611504077911377,113793,1990s,0.026088951827286485,starter,NL,NL,0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.5833333333333334,0.8958333333333334,1,12,0.7889093137254903,eldreca01,Rookie of the Year,1992.0,AL,22.0,140.0,1.0,0.0,0.15714285714285714,1,0.03255326788384955
1983,Mike Boddicker,BAL,16,8,26,26,10,5,14,177.1,119,2.791353463520063,69.85784829685802,3.245702197228382,81.34827859733258,-0.4543487337083189,148.02905033702376,78.1261498739398,81.81708938477655,78.69883738924376,133.8097697292815,90.39426315638164,0.09530583,1.686292052268982,2.452366590499878,-0.3107472652965564,3.768622636795044,111139,1980s,0.021279630924873203,starter,AL,AL,0,1.0,0.875,0.5,1.0,0.875,0.75,1.0,0.875,0.75,0.875,1.0,1.0,0.875,0.875,0.5,0.625,0.8359375,1,13,0.7886513157894737,boddimi01,Rookie of the Year,1983.0,AL,70.0,140.0,5.0,0.0,0.5,1,0.009521694253353936
2001,Roy Oswalt,HOU,12,2,20,20,3,1,14,127.2,130,2.8198435667227058,62.42996656055399,2.853314359464922,63.89201859375299,-0.0334707927422162,364.09896382432703,78.97834901293206,90.89628912893755,75.5607025061524,139.72512026431377,38.37559023269913,0.21899225,1.6935820579528809,2.3979125022888184,-0.4607716947279838,3.9699370861053462,400061,2000s,0.031210197217809325,starter,AL,AL,0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,1.0,1.0,0.4444444444444444,1.0,0.8888888888888888,1.0,1.0,1.0,0.3333333333333333,0.7777777777777778,0.8888888888888891,1,15,0.785054347826087,oswalro01,Rookie of the Year,2001.0,NL,82.0,160.0,0.0,0.0,0.5125,1,0.013314324354975478
1998,Kerry Wood,CHC,13,6,26,26,1,1,18,166.2,233,3.4020002076416143,79.88814602751945,3.163152242218018,72.09715561191871,0.2388479654235964,136.54345327200767,75.51876570766645,75.51319821892162,87.96102474134916,190.2195343289462,139.31063657753648,0.21173105,2.428325653076172,1.954258680343628,0.3658622513552929,4.39198637008667,134268,1990s,0.02642591077067792,starter,NL,NL,1,0.8571428571428571,1.0,0.9285714285714286,0.9285714285714286,1.0,0.14285714285714285,1.0,1.0,0.6428571428571429,1.0,1.0,0.9285714285714286,1.0,1.0,0.7142857142857143,1.0,0.8839285714285714,1,12,0.7835181451612903,woodke02,Rookie of the Year,1998.0,NL,128.0,160.0,16.0,0.0,0.8,1,0.014610864338605126
