Season,Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
1999,"Pedro Martinez","BOS",22,4,29,29,5,1,24,208.1,306,2.073599898750005,42.17439684210453,1.3290541912133749,29.634977183041777,0.74454570753663,506.8353483822862,29.43608674597829,75.00317157577422,62.338571140506325,238.61137562041426,47.07867574358758,0.33088235,6.476287841796875,6.484161853790283,0.09631281530118585,11.578981399536133,"Pedro Martinez",200,118377
1997,"Roger Clemens","TOR",21,7,34,34,9,3,26,264,292,2.0454545454545454,44.646635873455594,2.249363150741115,50.29155845338252,-0.2039086052865695,233.70824821835163,27.90030485448153,79.15920638056248,71.4152476252374,170.7292484645202,73.05229644571087,0.21455939,6.025321960449219,6.228580474853516,0.2963712632337252,10.698596954345703,"Roger Clemens",815,112388
2001,"Randy Johnson","ARI",20,6,34,34,3,2,27,242.2,356,2.559065880428233,56.59441307592022,2.2208401434405127,49.3793010430661,0.3382257369877202,242.14581636350493,60.7275346498947,79.59523392924446,75.28863362510735,203.33475153993223,83.9720320634496,0.29454171,5.801149845123291,5.395371913909912,0.1903734287744001,9.710692405700684,"Randy Johnson",60,116615
2004,"Randy Johnson","ARI",16,14,35,35,4,2,26,245.2,290,2.6010855893878326,57.12088236618717,2.300286998169799,49.62573876206654,0.30079859121803354,331.0863666972814,59.297471648175346,75.41114205950937,64.92057759348872,174.108999829085,52.58718364435404,0.25518672,3.9989218711853027,6.2451982498168945,-2.161385180013169,9.606083869934082,"Randy Johnson",60,116615
2000,"Randy Johnson","ARI",19,7,35,35,8,3,25,248.2,347,2.64209109877331,55.689377531772685,2.534972163738746,52.58764278443962,0.10711893503456427,259.5354749081939,71.30141178166227,84.2715864736701,77.16727282574662,202.73707987522957,78.11536266873821,0.27072927,5.375453948974609,4.4126410484313965,0.5736296321031444,9.577022552490234,"Randy Johnson",60,116615
1998,"Kevin Brown","SDP",18,7,35,35,7,3,29,256,254,2.390625,60.273296644818764,2.252433490753174,53.19033186245839,0.138191509246826,258.2090879000386,28.094777194332877,90.27450143935316,77.67803510501041,140.86227876128805,54.55357674508253,0.19922255,4.26799201965332,5.011033058166504,-1.1193016896645327,9.48324966430664,"Kevin Brown",642,111554
1995,"Randy Johnson","SEA",18,2,30,30,6,3,23,214.1,294,2.4774496908421915,52.320355942932174,2.0815239111432033,44.708970920659134,0.3959257796989881,282.67364358204424,46.50796353044349,75.26049363914142,71.2617571895033,221.01719716559347,78.18811440323243,0.26443418,6.6434197425842285,6.154058933258057,0.3309880815210757,9.481749534606934,"Randy Johnson",60,116615
1999,"Randy Johnson","ARI",17,9,35,35,12,2,29,271.2,364,2.4846626697250147,53.179275029991224,2.7620749480628586,58.72653553739655,-0.2774122783378439,289.980238211748,87.82095474083943,78.99989813608137,70.66022754335593,198.34717921181672,68.40023533943915,0.27247451,5.422269821166992,5.0392279624938965,0.6063006800771467,9.47813606262207,"Randy Johnson",60,116615
2000,"Pedro Martinez","BOS",18,6,29,29,7,4,25,217,284,1.7419354838709677,35.12049826433139,2.1710342213854816,47.61200950327603,-0.4290987375145139,530.6153261939271,58.526195887791445,61.33197179603168,49.481894668263024,220.33670437003622,41.524751478860026,0.30844553,7.61467981338501,8.08717155456543,-0.24658413188538386,9.374988555908203,"Pedro Martinez",200,118377
2002,"Curt Schilling","ARI",23,7,35,35,5,1,27,258.1,315,3.1354841179029203,72.64259067523383,2.3504615191266107,53.71182683882457,0.7850225987763095,492.05186630753053,96.24457494441138,87.11034640343611,70.1125310127232,178.31592711579586,36.239252305231304,0.27893175,4.633178234100342,6.102302074432373,-1.000333567006864,9.36474323272705,"Curt Schilling",73,121811
1988,"Roger Clemens","BOS",18,12,35,35,14,8,25,264,291,2.9318181818181817,71.81242081313242,2.1742029002218537,56.685977059721374,0.757615281596328,273.8887108661367,68.38877663624501,85.6109060530027,78.56415495638545,191.31646818285873,69.85189509306538,0.21542803,4.9027018547058105,5.2053728103637695,-0.39559983667266163,9.161515235900879,"Roger Clemens",815,112388
1978,"Ron Guidry","NYY",25,3,35,35,16,9,29,273.2,248,1.742996410708927,47.4492685056234,2.190202414273923,57.645549263828634,-0.44720600356499585,247.21428566473213,57.0130806638119,74.43226679870021,70.05659499301,198.44675123991468,80.27317388942554,0.16650899,4.7182440757751465,6.160322666168213,-1.1717182673054731,9.069023132324219,"Ron Guidry",1005124,115228
2018,"Jacob deGrom","NYM",10,9,32,32,1,0,28,217,269,1.7004608294930876,44.61531210293354,1.9853163684018753,49.2756315568296,-0.2848555389087877,225.67396872760534,37.91609283739853,80.13630853136674,70.42073175172382,143.7004751385371,63.676137955058465,0.26706587,5.852988243103027,4.62283992767334,0.5197876224866942,9.040757179260254,"Jacob deGrom",10954,594798
