Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,W-L%,ERA,H,HR,BB,SO,BF,BR,GmSc,RE24,aLI,Player-additional
Mark Fidrych,DET,4/20/76,8/17/76,3.4,168.2,14,4,19,0.778,1.97,139,9,34,74,660,184,66,34.14,1.17,fidryma01
Paul Skenes,PIT,5/11/24,9/16/24,3.3,126,10,3,21,0.769,2.07,92,10,32,158,490,132,63,33.92,0.96,skenepa01
Hideo Nomo,LAD,5/2/95,8/25/95,3.2,153,10,5,22,0.667,2.59,97,14,63,194,626,176,65,24.69,1.04,nomohi01
Rolando Arrojo,TBD,4/1/98,7/22/98,2.8,140.2,11,6,21,0.647,3.07,127,12,36,108,577,179,58,29.45,0.95,arrojro01
Brandon Webb,ARI,4/22/03,8/14/03,2.8,133.2,7,6,20,0.538,2.56,106,10,43,127,547,164,61,35.8,1,webbbr01
Dave Rozema,DET,4/11/77,8/4/77,2.5,161,11,4,21,0.733,2.74,160,15,24,69,653,200,57,25.14,0.9,rozemda01
Dontrelle Willis,FLA,5/9/03,8/28/03,2.5,123.1,11,5,21,0.688,3.43,116,9,43,109,512,163,55,15.36,1.04,willido03
Jim Wright,BOS,4/15/78,9/3/78,2.4,112.1,8,2,14,0.8,3.12,111,7,24,55,458,147,57,17.09,0.95,wrighji02
Orlando Hernández,NYY,6/3/98,9/25/98,2.3,141,12,4,21,0.75,3.13,113,11,52,131,574,173,59,23.63,0.96,hernaor01
Mike Dunne,PIT,6/5/87,9/22/87,2.3,151.2,12,5,21,0.706,2.79,130,10,61,65,629,205,56,19.58,1,dunnemi01
Tommy Hanson,ATL,6/7/09,10/1/09,2.3,127.2,11,4,21,0.733,2.89,105,10,46,116,522,161,58,20.6,1.03,hansoto01
Tanner Bibee,CLE,4/26/23,8/25/23,2.2,119.2,10,3,21,0.769,3.01,107,13,37,117,496,152,56,18.32,1.01,bibeeta01
Bill Laskey,SFG,4/23/82,8/5/82,2.2,133.2,10,8,20,0.556,2.56,120,8,31,66,541,157,57,20.9,1.01,laskebi01
José Fernández,MIA,4/7/13,8/2/13,2.2,127.2,8,5,21,0.615,2.54,86,8,43,138,506,137,62,19.65,0.97,fernajo02
Matt Morris,STL,4/4/97,7/26/97,2.1,133,8,6,21,0.571,2.64,123,8,42,98,544,174,57,19.45,1.05,morrima01
Tim Hudson,OAK,6/8/99,9/28/99,2,136.1,11,2,21,0.846,3.23,121,8,62,132,580,192,56,22.69,0.95,hudsoti01
Rich Gale,KCR,4/30/78,8/6/78,2,142.2,13,3,21,0.813,2.59,120,7,70,67,597,202,56,19.78,1.02,galeri01
Matt Young,SEA,4/6/83,7/26/83,2,141,8,11,21,0.421,3,117,11,56,91,582,185,56,19.88,1.05,youngma01
Dwight Gooden,NYM,4/7/84,8/1/84,2,138,9,7,21,0.563,3.2,111,4,58,165,581,178,59,7.93,1.12,goodedw01
Kerry Wood,CHC,4/12/98,8/5/98,1.9,134.2,11,6,21,0.647,3.34,95,10,73,185,567,182,60,19.54,1.03,woodke02
Steve Sparks,MIL,4/28/95,8/5/95,1.8,130.1,7,5,16,0.583,3.8,114,10,59,61,544,180,52,23.08,0.87,sparkst01
Bruce Ruffin,PHI,6/28/86,10/5/86,1.8,146.1,9,4,21,0.692,2.46,138,6,44,70,600,191,56,16.98,1,ruffibr01
Shota Imanaga,CHC,4/1/24,8/6/24,1.8,123.1,9,2,21,0.818,3.06,112,17,18,128,499,138,57,14.75,1.05,imanash01
Daisuke Matsuzaka,BOS,4/5/07,7/24/07,1.7,137.2,12,7,21,0.632,3.79,125,14,49,136,579,185,56,19.01,1.08,matsuda01
Kodai Senga,NYM,4/2/23,8/7/23,1.7,116.2,8,6,21,0.571,3.24,95,11,57,142,500,162,56,14.25,1.01,sengako01
Juan Guzmán,TOR,6/7/91,9/27/91,1.5,128.2,9,2,21,0.818,3.08,90,6,64,115,536,164,57,16.4,1.08,guzmaju01
Jacob deGrom,NYM,5/15/14,9/15/14,1.5,134.1,8,6,21,0.571,2.75,114,7,40,134,541,158,59,13.93,1.07,degroja01
Dereck Rodríguez,SFG,5/29/18,9/29/18,1.5,118.1,6,4,19,0.6,2.81,98,9,36,89,487,146,56,12.72,0.98,rodride01
Michael Fulmer,DET,4/29/16,8/27/16,1.4,130.2,10,5,21,0.667,2.69,105,13,34,108,525,151,58,21.47,0.96,fulmemi01
Carlos Pérez,MON,4/27/95,8/6/95,1.4,105,10,3,16,0.769,3.26,107,9,19,70,434,135,54,15.41,0.9,perezca01
Hyun Jin Ryu,LAD,4/2/13,8/2/13,1.4,134.1,10,3,21,0.769,3.15,129,11,42,111,557,176,55,14.17,1,ryuhy01
Bryce Miller,SEA,5/2/23,9/5/23,1.4,112.2,8,4,21,0.667,3.83,99,14,22,102,454,130,54,9.44,0.98,millebr04
Jose Quintana,CHW,2012-05-07 (1),9/10/12,1.4,122.2,6,4,19,0.6,3.52,123,12,32,72,499,159,52,10.44,1.08,quintjo01
Don August,MIL,6/2/88,9/16/88,1.3,132.1,11,6,19,0.647,2.99,116,11,42,60,542,167,55,17.31,0.9,augusdo01
Ricky Romero,TOR,4/9/09,8/23/09,1.3,131.1,11,5,21,0.688,3.91,134,16,52,99,556,194,52,12.42,1.01,romerri01
