Rk,Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,SV,BSv,CG,SHO,GF,IP,Dec,W-L%,ERA,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,GmSc,Pit,Str,WPA,RE24,IR,IS,aLI,DFS(DK),DFS(FD),Ind. Games Link,Player-additional
1,Mark Fidrych,DET,1976-04-20,1976-08-17,3.4,168.2,14,4,19,0,0,16,2,2,168.2,18,.778,1.97,139,41,37,4,9,34,0,74,1,0,3,660,184,66,,,3.4,34.14,2,1,1.17,,,Games List,fidryma01
2,Paul Skenes,PIT,2024-05-11,2024-09-16,3.3,126.0,10,3,21,0,0,0,0,0,126.0,13,.769,2.07,92,31,29,2,10,32,0,158,5,1,2,490,132,63,2029,1337,3.3,33.92,,,0.96,504.10,885.00,Games List,skenepa01
3,Hideo Nomo,LAD,1995-05-02,1995-08-25,3.2,153.0,10,5,22,0,0,4,3,0,153.0,15,.667,2.59,97,51,44,7,14,63,2,194,5,5,14,626,176,65,2144,1317,3.2,24.69,,,1.04,,,Games List,nomohi01
4,Rolando Arrojo,TBD,1998-04-01,1998-07-22,2.8,140.2,11,6,21,0,0,2,2,0,140.2,17,.647,3.07,127,50,48,2,12,36,1,108,13,1,2,577,179,58,2116,1321,2.8,29.45,,,0.95,,,Games List,arrojro01
5,Brandon Webb,ARI,2003-04-22,2003-08-14,2.8,133.2,7,6,20,0,0,1,1,1,133.2,13,.538,2.56,106,39,38,1,10,43,2,127,10,0,6,547,164,61,2026,1269,2.8,35.80,0,0,1.00,,,Games List,webbbr01
6,Dave Rozema,DET,1977-04-11,1977-08-04,2.5,161.0,11,4,21,0,0,12,1,0,161.0,15,.733,2.74,160,59,49,10,15,24,4,69,5,1,1,653,200,57,,,2.5,25.14,,,0.90,,,Games List,rozemda01
7,Dontrelle Willis,FLA,2003-05-09,2003-08-28,2.5,123.1,11,5,21,0,0,2,2,0,123.1,16,.688,3.43,116,48,47,1,9,43,0,109,1,0,6,512,163,55,2043,1283,2.5,15.36,,,1.04,,,Games List,willido03
8,Jim Wright,BOS,1978-04-15,1978-09-03,2.4,112.1,8,2,14,0,0,5,3,3,112.1,10,.800,3.12,111,42,39,3,7,24,2,55,7,0,0,458,147,57,,,2.4,17.09,4,0,0.95,,,Games List,wrighji02
9,Orlando Hernández,NYY,1998-06-03,1998-09-25,2.3,141.0,12,4,21,0,0,3,1,0,141.0,16,.750,3.13,113,53,49,4,11,52,1,131,6,2,5,574,173,59,2271,1380,2.3,23.63,,,0.96,,,Games List,hernaor01
10,Mike Dunne,PIT,1987-06-05,1987-09-22,2.3,151.2,12,5,21,0,0,5,1,0,151.2,17,.706,2.79,130,58,47,11,10,61,8,65,1,4,6,629,205,56,,,2.3,19.58,,,1.00,,,Games List,dunnemi01
11,Tommy Hanson,ATL,2009-06-07,2009-10-01,2.3,127.2,11,4,21,0,0,0,0,0,127.2,15,.733,2.89,105,42,41,1,10,46,1,116,5,0,2,522,161,58,1986,1264,2.3,20.60,,,1.03,,,Games List,hansoto01
12,Tanner Bibee,CLE,2023-04-26,2023-08-25,2.2,119.2,10,3,21,0,0,0,0,0,119.2,13,.769,3.01,107,42,40,2,13,37,0,117,5,0,6,496,152,56,1975,1253,2.2,18.32,,,1.01,373.85,690.00,Games List,bibeeta01
13,Bill Laskey,SFG,1982-04-23,1982-08-05,2.2,133.2,10,8,20,0,0,5,1,0,133.2,18,.556,2.56,120,40,38,2,8,31,2,66,1,1,1,541,157,57,,,2.2,20.90,1,0,1.01,,,Games List,laskebi01
14,José Fernández,MIA,2013-04-07,2013-08-02,2.2,127.2,8,5,21,0,0,0,0,0,127.2,13,.615,2.54,86,40,36,4,8,43,3,138,4,1,1,506,137,62,1916,1276,2.2,19.65,,,0.97,,,Games List,fernajo02
15,Matt Morris,STL,1997-04-04,1997-07-26,2.1,133.0,8,6,21,0,0,1,0,0,133.0,14,.571,2.64,123,45,39,6,8,42,2,98,5,3,2,544,174,57,2057,1290,2.1,19.45,,,1.05,,,Games List,morrima01
16,Tim Hudson,OAK,1999-06-08,1999-09-28,2.0,136.1,11,2,21,0,0,1,0,0,136.1,13,.846,3.23,121,56,49,7,8,62,2,132,4,0,6,580,192,56,2170,1294,2.0,22.69,,,0.95,,,Games List,hudsoti01
17,Rich Gale,KCR,1978-04-30,1978-08-06,2.0,142.2,13,3,21,0,0,9,3,0,142.2,16,.813,2.59,120,47,41,6,7,70,2,67,2,0,3,597,202,56,,,2.0,19.78,,,1.02,,,Games List,galeri01
18,Matt Young,SEA,1983-04-06,1983-07-26,2.0,141.0,8,11,21,0,0,4,2,0,141.0,19,.421,3.00,117,53,47,6,11,56,1,91,6,1,4,582,185,56,,,2.0,19.88,,,1.05,,,Games List,youngma01
19,Dwight Gooden,NYM,1984-04-07,1984-08-01,2.0,138.0,9,7,21,0,0,2,1,0,138.0,16,.563,3.20,111,56,49,7,4,58,1,165,2,4,2,581,178,59,163,98,2.0,7.93,,,1.12,,,Games List,goodedw01
20,Kerry Wood,CHC,1998-04-12,1998-08-05,1.9,134.2,11,6,21,0,0,1,1,0,134.2,17,.647,3.34,95,54,50,4,10,73,1,185,11,2,4,567,182,60,2295,1391,1.9,19.54,,,1.03,,,Games List,woodke02
21,Steve Sparks,MIL,1995-04-28,1995-08-05,1.8,130.1,7,5,16,0,0,3,0,1,130.1,12,.583,3.80,114,60,55,5,10,59,1,61,1,1,2,544,180,52,2031,1198,1.8,23.08,2,0,0.87,,,Games List,sparkst01
22,Bruce Ruffin,PHI,1986-06-28,1986-10-05,1.8,146.1,9,4,21,0,0,6,0,0,146.1,13,.692,2.46,138,53,40,13,6,44,6,70,1,1,0,600,191,56,95,57,1.8,16.98,,,1.00,,,Games List,ruffibr01
23,Shota Imanaga,CHC,2024-04-01,2024-08-06,1.8,123.1,9,2,21,0,0,0,0,0,123.1,11,.818,3.06,112,48,42,6,17,18,0,128,3,0,2,499,138,57,1837,1264,1.8,14.75,,,1.05,405.70,734.00,Games List,imanash01
24,Daisuke Matsuzaka,BOS,2007-04-05,2007-07-24,1.7,137.2,12,7,21,0,0,1,0,0,137.2,19,.632,3.79,125,58,58,0,14,49,1,136,8,0,4,579,185,56,2292,1473,1.7,19.01,,,1.08,,,Games List,matsuda01
25,Kodai Senga,NYM,2023-04-02,2023-08-07,1.7,116.2,8,6,21,0,0,0,0,0,116.2,14,.571,3.24,95,47,42,5,11,57,0,142,4,1,11,500,162,56,1978,1204,1.7,14.25,,,1.01,400.90,734.00,Games List,sengako01
26,Juan Guzmán,TOR,1991-06-07,1991-09-27,1.5,128.2,9,2,21,0,0,1,0,0,128.2,11,.818,3.08,90,51,44,7,6,64,0,115,4,0,8,536,164,57,2155,1339,1.5,16.40,,,1.08,,,Games List,guzmaju01
27,Jacob deGrom,NYM,2014-05-15,2014-09-15,1.5,134.1,8,6,21,0,0,0,0,0,134.1,14,.571,2.75,114,42,41,1,7,40,2,134,1,0,1,541,158,59,2136,1410,1.5,13.93,,,1.07,,,Games List,degroja01
28,Dereck Rodríguez,SFG,2018-05-29,2018-09-29,1.5,118.1,6,4,19,0,0,0,0,1,118.1,10,.600,2.81,98,43,37,6,9,36,2,89,7,0,1,487,146,56,1003,638,1.5,12.72,0,0,0.98,,,Games List,rodride01
29,Michael Fulmer,DET,2016-04-29,2016-08-27,1.4,130.2,10,5,21,0,0,1,1,0,130.2,15,.667,2.69,105,42,39,3,13,34,1,108,8,0,1,525,151,58,2004,1284,1.4,21.47,,,0.96,,,Games List,fulmemi01
30,Carlos Pérez,MON,1995-04-27,1995-08-06,1.4,105.0,10,3,16,0,0,2,1,2,105.0,13,.769,3.26,107,38,38,0,9,19,1,70,4,3,8,434,135,54,1283,820,1.4,15.41,4,0,0.90,,,Games List,perezca01
