Player,Place,Season,Age,Team,Lg,W,L,W-L%,ERA,IP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Player-additional
Mark Fidrych,ROY-1,1976,21,DET,AL,19,9,0.679,2.34,250.1,996,159,3.15,1.079,7.8,0.4,1.9,3.5,1.83,9.6,7.3,fidryma01
Britt Burns,ROY-5,1980,21,CHW,AL,15,13,0.536,2.84,238,970,143,3.41,1.16,8.1,0.6,2.4,5,2.11,7,4.9,burnsbr01
John Montefusco,ROY-1,1975,25,SFG,NL,15,9,0.625,2.88,243.2,1018,133,2.57,1.215,7.8,0.4,3.2,7.9,2.5,6.8,4.8,montejo01
José Fernández,ROY-1,2013,20,MIA,NL,12,6,0.667,2.19,172.2,681,176,2.73,0.979,5.8,0.5,3,9.7,3.22,6.2,4.8,fernajo02
Brandon Webb,ROY-3,2003,24,ARI,NL,10,9,0.526,2.84,180.2,750,165,3.34,1.151,7,0.6,3.4,8.6,2.53,6.1,4.8,webbbr01
Michael Soroka,ROY-2,2019,21,ATL,NL,13,4,0.765,2.68,174.2,701,171,3.45,1.111,7.9,0.7,2.1,7.3,3.46,6.1,4.6,sorokmi01
Dave Rozema,ROY-4,1977,20,DET,AL,15,7,0.682,3.09,218.1,890,139,3.95,1.173,9.2,1,1.4,3.8,2.71,5.7,3.7,rozemda01
Dwight Gooden,ROY-1,1984,19,NYM,NL,17,9,0.654,2.6,218,879,137,1.69,1.073,6.6,0.3,3,11.4,3.78,5.5,3.5,goodedw01
Michael Fulmer,ROY-1,2016,23,DET,AL,11,7,0.611,3.06,159,647,139,3.76,1.119,7.7,0.9,2.4,7.5,3.14,5.4,4,fulmemi01
Freddy García,ROY-2,1999,22,SEA,AL,17,8,0.68,4.07,201.1,888,122,4.1,1.465,9.2,0.8,4,7.6,1.89,5.4,3.4,garcifr03
Kevin Appier,ROY-3,1990,22,KCR,AL,12,8,0.6,2.76,185.2,784,139,3.32,1.255,8.7,0.6,2.6,6.2,2.35,5.3,3.6,appieke01
Dennis Eckersley,,1975,20,CLE,AL,13,7,0.65,2.6,186.2,794,144,3.63,1.27,7.1,0.8,4.3,7.3,1.69,5.3,3.4,eckerde01
Craig McMurtry,ROY-2,1983,23,ATL,NL,15,9,0.625,3.08,224.2,943,126,3.76,1.3,8.2,0.5,3.5,4.2,1.19,5.2,3.2,mcmurcr01
Paul Skenes,,2024,22,PIT,NL,10,2,0.833,2.1,120,468,200,2.64,0.992,6.6,0.8,2.3,11.3,4.87,5.2,4.2,skenepa01
Dave Fleming,ROY-3,1992,22,SEA,AL,17,10,0.63,3.39,228.1,946,117,3.38,1.248,8.9,0.5,2.4,4.4,1.87,5.1,3,flemida01
Matt Young,,1983,24,SEA,AL,11,15,0.423,3.27,203.2,851,131,3.83,1.262,7.9,0.8,3.5,5.7,1.65,5.1,3.3,youngma01
Ron Guidry,,1977,26,NYY,AL,16,7,0.696,2.82,210.2,850,140,2.73,1.134,7.4,0.5,2.8,7.5,2.71,4.8,2.9,guidrro01
