Rk,Player,WAR▼,IP,Place,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Pos,Player-additional
1,Mark Fidrych,9.6,250.1,ROY-1,1976,21,DET,AL,19,9,.679,28,2.34,31,29,24,4,0,250.1,217,76,65,12,53,3,97,3,0,6,996,159,3.15,1.079,7.8,0.4,1.9,3.5,1.83,9.6,7.3,,fidryma01
2,Britt Burns,7.0,238.0,ROY-5,1980,21,CHW,AL,15,13,.536,28,2.84,34,32,11,1,0,238.0,213,83,75,17,63,2,133,4,4,1,970,143,3.41,1.160,8.1,0.6,2.4,5.0,2.11,7.0,4.9,,burnsbr01
3,John Montefusco,6.8,243.2,ROY-1,1975,25,SFG,NL,15,9,.625,24,2.88,35,34,10,4,0,243.2,210,85,78,11,86,12,215,8,2,6,1018,133,2.57,1.215,7.8,0.4,3.2,7.9,2.50,6.8,4.8,1,montejo01
4,José Fernández,6.2,172.2,ROY-1,2013,20,MIA,NL,12,6,.667,18,2.19,28,28,0,0,0,172.2,111,47,42,10,58,5,187,5,1,3,681,176,2.73,0.979,5.8,0.5,3.0,9.7,3.22,6.2,4.8,1,fernajo02
5,Brandon Webb,6.1,180.2,ROY-3,2003,24,ARI,NL,10,9,.526,19,2.84,29,28,1,1,0,180.2,140,65,57,12,68,4,172,13,1,9,750,165,3.34,1.151,7.0,0.6,3.4,8.6,2.53,6.1,4.8,1,webbbr01
6,Michael Soroka,6.1,174.2,ROY-2,2019,21,ATL,NL,13,4,.765,17,2.68,29,29,0,0,0,174.2,153,56,52,14,41,1,142,7,0,3,701,171,3.45,1.111,7.9,0.7,2.1,7.3,3.46,6.1,4.6,1,sorokmi01
7,Dave Rozema,5.7,218.1,ROY-4,1977,20,DET,AL,15,7,.682,22,3.09,28,28,16,1,0,218.1,222,87,75,25,34,4,92,7,2,2,890,139,3.95,1.173,9.2,1.0,1.4,3.8,2.71,5.7,3.7,,rozemda01
8,Paul Skenes,5.5,126.0,,2024,22,PIT,NL,10,3,.769,13,2.07,21,21,0,0,0,126.0,92,31,29,10,32,0,158,5,1,2,490,202,2.58,0.984,6.6,0.7,2.3,11.3,4.94,5.5,4.4,,skenepa01
9,Dwight Gooden,5.5,218.0,ROY-1,1984,19,NYM,NL,17,9,.654,26,2.60,31,31,7,3,0,218.0,161,72,63,7,73,2,276,2,7,3,879,137,1.69,1.073,6.6,0.3,3.0,11.4,3.78,5.5,3.5,1,goodedw01
10,Michael Fulmer,5.4,159.0,ROY-1,2016,23,DET,AL,11,7,.611,18,3.06,26,26,1,1,0,159.0,136,57,54,16,42,1,132,9,1,1,647,139,3.76,1.119,7.7,0.9,2.4,7.5,3.14,5.4,4.0,1,fulmemi01
11,Freddy García,5.4,201.1,ROY-2,1999,22,SEA,AL,17,8,.680,25,4.07,33,33,2,1,0,201.1,205,96,91,18,90,4,170,10,3,12,888,122,4.10,1.465,9.2,0.8,4.0,7.6,1.89,5.4,3.4,1/H,garcifr03
12,Kevin Appier,5.3,185.2,ROY-3,1990,22,KCR,AL,12,8,.600,20,2.76,32,24,3,3,0,185.2,179,67,57,13,54,2,127,6,1,6,784,139,3.32,1.255,8.7,0.6,2.6,6.2,2.35,5.3,3.6,,appieke01
13,Dennis Eckersley,5.3,186.2,,1975,20,CLE,AL,13,7,.650,20,2.60,34,24,6,2,2,186.2,147,61,54,16,90,8,152,7,2,4,794,144,3.63,1.270,7.1,0.8,4.3,7.3,1.69,5.3,3.4,,eckerde01
14,Craig McMurtry,5.2,224.2,ROY-2,1983,23,ATL,NL,15,9,.625,24,3.08,36,35,6,3,0,224.2,204,86,77,13,88,1,105,1,2,1,943,126,3.76,1.300,8.2,0.5,3.5,4.2,1.19,5.2,3.2,1,mcmurcr01
15,Dave Fleming,5.1,228.1,ROY-3,1992,22,SEA,AL,17,10,.630,27,3.39,33,33,7,4,0,228.1,225,95,86,13,60,3,112,4,1,8,946,117,3.38,1.248,8.9,0.5,2.4,4.4,1.87,5.1,3.0,,flemida01
16,Matt Young,5.1,203.2,,1983,24,SEA,AL,11,15,.423,26,3.27,33,32,5,2,0,203.2,178,86,74,17,79,2,130,7,2,4,851,131,3.83,1.262,7.9,0.8,3.5,5.7,1.65,5.1,3.3,,youngma01
